Name,Target Muscle,Type,MET Value,Description,Difficulty,Caution,Youtube Links
Alligator Crawl,Abdominals,Cardio,5.5,1. Get into a low push-up position.  2. Move forward by stepping hands and dragging feet.  3. Keep hips low and core tight.  4. Move slowly with control.,Advanced,HIIT,
Breakdancer,Full body,Cardio,5.5,1. Begin in tabletop position with knees hovering.  2. Rotate and kick one leg under your body.  3. Return and switch sides.  4. Use arms and core for balance.,Advanced,"Plyometric, HIIT",
Hand-Elevated Walk-Over Push-Up,Abdominals,Strength,5.5,"1. Place one hand on an elevated surface.  2. Do a push-up, then walk hands across to switch sides.  3. Repeat the motion.  4. Keep your body aligned throughout.",Advanced,None,
Feet-Elevated Up-Down Plank,Abdominals,Core,5.5,1. Start in a feet-elevated straight-arm plank.  2. Lower one arm at a time to elbow plank.  3. Push back up to straight-arm plank.  4. Alternate lead arms while maintaining core engagement.,Advanced,Isometric Hold,
Feet-Elevated Plank with Shoulder Tap,Abdominals,Core,5.5,1. Begin in a feet-elevated plank.  2. Tap opposite shoulder with one hand while stabilizing with the other.  3. Alternate sides.  4. Keep hips steady and core tight.,Advanced,Isometric Hold,
Feet-Elevated Plank Pike Pull,Abdominals,Core,5.5,1. Begin in feet-elevated plank position.  2. Pull hips upward into a pike shape.  3. Return to plank position.  4. Engage abs and avoid arching back.,Advanced,Isometric Hold,
Straight Plank Pike to Renegade Row,Abdominals,Strength,5.5,1. Start in straight-arm plank.  2. Perform a pike by lifting hips.  3. Return to plank and perform a row with one arm.  4. Alternate arms and repeat.,Advanced,None,
Alternating Hip Drop to Push-Up,Abdominals,Strength,5.5,1. Start in elbow plank.  2. Drop one hip toward the floor.  3. Return to center and perform a push-up.  4. Alternate sides with each rep.,Advanced,None,
Groiners,Adductors,Cardio,5.5,1. Begin in plank position.  2. Jump both feet outside your hands.  3. Keep hips low and back flat.  4. Return to plank and repeat.,Intermediate,None,
Spider Plank Jack,Abdominals,Cardio,5.5,1. Begin in straight-arm plank.  2. Jump feet apart and bring one knee toward the outside elbow.  3. Return to plank and switch sides.  4. Maintain a steady pace.,Intermediate,HIIT,
Ninja Knee Straight Plank,Abdominals,Core,5.5,"1. Start in straight-arm plank.  2. Jump both feet forward, bending knees under body.  3. Return to plank position.  4. Land softly and stay controlled.",Advanced,"Plyometric, HIIT",
Floor Jack,Abdominals,Core,5.5,1. Lie on your back with arms and legs extended.  2. Simultaneously open arms and legs out wide.  3. Bring them back together.  4. Keep core engaged.,Intermediate,"Plyometric, HIIT",
Towel Wide Hill Climber,Abdominals,Cardio,5.5,1. Start in plank with feet on towels or sliders.  2. Slide one foot forward and outward to the side.  3. Alternate legs.  4. Keep upper body steady.,Intermediate,HIIT,
Straight Plank Split Jack,Abdominals,Cardio,5.5,"1. Begin in straight-arm plank.  2. Jump legs apart, then back together.  3. Keep core tight and back flat.  4. Avoid letting hips rise.",Intermediate,"Plyometric, HIIT",
Straight Plank Jack,Abdominals,Cardio,5.5,1. Start in a straight-arm plank.  2. Jump feet out and in like a jumping jack.  3. Keep hips level and core tight.  4. Control movement.,Intermediate,"Plyometric, HIIT",
Squat Tap to Hop,Quadriceps,Cardio,5.5,"1. Begin in a squat position.  2. Tap the floor with one hand.  3. Jump upward, then return to squat.  4. Repeat alternating sides.",Intermediate,"Plyometric, HIIT",
Plank Walk-Out,Abdominals,Core,5.5,"1. Stand tall, then bend at hips and walk hands out to plank.  2. Hold briefly, then walk hands back to standing.  3. Keep core engaged throughout.",Beginner,None,
Frog Kick,Abdominals,Core,5.5,1. Start in elbow plank.  2. Jump both feet forward outside your elbows.  3. Jump back to starting plank.  4. Land softly and control the motion.,Intermediate,None,
Chest Push-Up To Isometric Hold,Chest,Strength,5.5,1. Start in plank and lower into a push-up.  2. Hold the bottom position briefly.  3. Push back up to plank.  4. Keep core tight and back flat.,Intermediate,Isometric Hold,
Push-up to Down Dog,Chest,Strength,5.5,1. Perform a push-up.  2. Shift hips back into Downward Dog.  3. Return to plank and repeat.  4. Keep shoulders active and spine long.,Intermediate,None,
Alternating Curtsy Lunge with High Knee,Quadriceps,Cardio,5.5,1. Step one leg diagonally behind into a curtsy lunge.  2. Push off and lift the knee up in front.  3. Alternate sides.  4. Engage core for balance.,Intermediate,None,
Plank Push-Up,Abdominals,Strength,5.5,1. Begin in elbow plank.  2. Push up to straight-arm plank one arm at a time.  3. Lower back to elbows.  4. Alternate lead arm each time.,Intermediate,None,
Dive-Bomber,Lower Back,Strength,5.5,1. Start in Downward Dog.  2. Lower chest and scoop forward into Upward Dog.  3. Reverse the movement to return.  4. Flow smoothly through the motion.,Intermediate,None,
Sumo Squat Pulse,Quadriceps,Strength,5.5,1. Stand with feet wide and toes turned out.  2. Lower into a squat and pulse up and down.  3. Stay low and keep chest lifted.  4. Maintain tension in thighs and glutes.,Beginner,None,
Alternating Up-Down Plank to Push-Up,Abdominals,Strength,5.5,1. Start in elbow plank.  2. Push up to straight-arm plank and perform a push-up.  3. Return to elbow plank.  4. Alternate leading arm.,Intermediate,None,
Forward-To-Reverse Lunge,Quadriceps,Stretching,5.5,1. Step one leg forward into a lunge.  2. Push back and immediately step the same leg into a reverse lunge.  3. Alternate legs.  4. Keep torso upright.,Intermediate,None,
Lunge kick,Glutes,Strength,5.5,1. Step back into a reverse lunge.  2. Push off front foot and kick the back leg forward.  3. Return to lunge and repeat.  4. Alternate sides.,Intermediate,"Plyometric, HIIT",
Down Up,Quadriceps,Strength,5.5,"1. Begin in standing position.  2. Squat down and place hands on the floor.  3. Jump feet back to plank, then return and stand.  4. Repeat quickly with control.",Intermediate,"Plyometric, HIIT",
Walking lunge,Glutes,Strength,5.5,1. Step forward into a lunge.  2. Bring rear leg forward into next lunge.  3. Keep alternating legs while moving forward.  4. Maintain upright posture.,Intermediate,None,
Walking Lunge with Twist,Quadriceps,Strength,5.5,1. Step forward into a lunge.  2. Rotate torso toward the front leg.  3. Return to center and step forward.  4. Alternate legs and twists.,Intermediate,None,
Alternating Split Squat,Quadriceps,Strength,5.5,"1. Start in a split stance.  2. Lower into a squat, then switch legs mid-air.  3. Land softly in opposite split stance.  4. Repeat while maintaining control.",Intermediate,None,
Straight-arm plank with kick-back,Triceps,Core,5.5,1. Begin in plank.  2. Lift one leg and extend it backward.  3. Lower and switch sides.  4. Keep hips level and abs tight.,Intermediate,None,
Traveling Bear Crawl,Full body,Cardio,6,1. Start on all fours with knees slightly off ground.  2. Move opposite hand and foot forward.  3. Continue crawling while keeping back flat.  4. Stay low and controlled.,Advanced,HIIT,
Linear Acceleration Wall Drill,Hamstrings,Cardio,6,"1. Stand at a 45-degree angle facing a wall.  2. Drive knees up one at a time rapidly.  3. Use quick, powerful motions.  4. Maintain strong posture.",Intermediate,"Plyometric, HIIT",
Line-Drill Foot Work,Abdominals,Cardio,6,1. Stand with a line beneath your feet.  2. Rapidly step over and back across the line.  3. Stay light on your toes.  4. Focus on quick feet.,Intermediate,"Plyometric, HIIT",
Wide Mountain Climber,Abdominals,Cardio,6,1. Start in plank.  2. Drive knees outside toward elbows alternately.  3. Keep hips low and core tight.  4. Maintain a quick tempo.,Intermediate,HIIT,
Hill Climber,Abdominals,Cardio,6,1. Start in plank.  2. Drive knees toward chest in a running motion.  3. Maintain strong core engagement.  4. Keep shoulders over wrists.,Beginner,HIIT,
Hands-Elevated Split Jack,Abdominals,Cardio,6,1. Place hands on an elevated surface.  2. Jump feet apart and together quickly.  3. Keep body stable.  4. Focus on fast footwork.,Beginner,"Plyometric, HIIT",
Ninja Crawl,Hamstrings,Cardio,6,"1. Begin in low bear crawl position.  2. Move forward with low, quiet steps.  3. Stay close to the ground.  4. Engage your core and move with control.",Advanced,None,
Lateral Speed Step,Quadriceps,Cardio,6,1. Stand beside a step or line.  2. Step quickly over and back with both feet.  3. Keep knees bent and body low.  4. Focus on speed and control.,Intermediate,"Plyometric, HIIT",
Slow Jog,Quadriceps,Cardio,6,1. Begin jogging in place or forward.  2. Keep light on your feet.  3. Maintain a relaxed rhythm.  4. Breathe evenly and stay loose.,Beginner,None,
Quick Leap,Quadriceps,Cardio,6,1. Stand with feet hip-width apart.  2. Leap forward quickly.  3. Land softly and reset.  4. Use arms for momentum.,Intermediate,"Plyometric, HIIT",
Lateral Shuffle,Quadriceps,Cardio,6,1. Bend knees slightly and assume athletic stance.  2. Shuffle side to side.  3. Stay low and quick.  4. Keep feet off the ground as much as possible.,Intermediate,"Plyometric, HIIT",
Towel Reverse Plank Jack,Abdominals,Core,6,1. Sit and extend legs with hands behind hips.  2. Lift hips into a reverse plank.  3. Jump feet apart and together while maintaining position.  4. Keep hips elevated and core tight.,Intermediate,"Plyometric, HIIT",
Bear Crawl Fire Feet,Abdominals,Cardio,6.5,1. Start in a bear crawl with knees off the floor.  2. Rapidly alternate foot taps in place.  3. Stay low and controlled.  4. Keep back flat and core engaged.,Advanced,HIIT,
Hands Down Heel Click,Abdominals,Cardio,6.5,1. Stand with feet hip-width apart.  2. Jump and click heels together in air.  3. Tap hands down as you land.  4. Reset and repeat.,Advanced,"Plyometric, HIIT",
Side-to-side push-up,Chest,Strength,6.5,1. Get into wide push-up position.  2. Shift body weight to one side and lower.  3. Push up and repeat to the other side.  4. Maintain plank form throughout.,Advanced,None,
Spiderman Push-Up,Chest,Strength,6.5,1. Begin in push-up position.  2. Lower body while bringing knee to same-side elbow.  3. Return to start and switch sides.  4. Keep movement smooth and controlled.,Advanced,None,
Scissors Jump,Quadriceps,Cardio,6.5,1. Stand in a lunge position.  2. Jump and switch legs mid-air.  3. Land softly in opposite lunge.  4. Use arms for balance.,Intermediate,"Plyometric, HIIT",
Jump Lunge,Abdominals,Cardio,6.5,1. Begin in a lunge stance.  2. Explode up and switch legs mid-air.  3. Land in lunge on opposite side.  4. Maintain upright torso and balance.,Intermediate,"Plyometric, HIIT",
Hands-Elevated Burpee,Abdominals,Cardio,6.5,1. Place hands on bench or surface.  2. Jump feet back to plank.  3. Jump feet forward and stand.  4. Add a jump if desired.,Beginner,"Plyometric, HIIT",
Cross-Over Jack,Abductors,Cardio,6.5,"1. Stand tall with arms at sides.  2. Jump feet apart while swinging arms outward.  3. Jump feet in, crossing one foot over.  4. Alternate crossing legs.",Intermediate,"Plyometric, HIIT",
Butt Tap to Jump,Abductors,Cardio,6.5,1. Lower into a deep squat.  2. Tap surface or go low enough to mimic tapping.  3. Explode into a jump.  4. Land softly and repeat.,Intermediate,"Plyometric, HIIT",
Square Hop,Quadriceps,Cardio,6.5,1. Imagine or draw a square on floor.  2. Hop with both feet to each corner in order.  3. Land softly and maintain rhythm.  4. Reverse direction after a round.,Intermediate,"Plyometric, HIIT",
Speed Skater,Quadriceps,Cardio,6.5,1. Leap laterally from one leg to the other.  2. Swing opposite arm across body.  3. Land lightly and stay balanced.  4. Keep pace brisk and steady.,Intermediate,"Plyometric, HIIT",
Seal Jack,Quadriceps,Cardio,6.5,1. Stand with arms extended in front.  2. Jump feet apart while swinging arms wide.  3. Jump back to start.  4. Keep movement smooth and rhythmic.,Beginner,"Plyometric, HIIT",
Lateral Bounding Hop,Quadriceps,Cardio,6.5,1. Stand on one leg.  2. Leap sideways to land on opposite leg.  3. Swing arms for balance and power.  4. Repeat side to side in rhythm.,Advanced,"Plyometric, HIIT",
Staggered push-up,Chest,Strength,6.5,"1. Begin in plank with one hand forward, one back.  2. Lower chest to floor.  3. Push back up and switch hand positions.  4. Keep body aligned and core tight.",Intermediate,None,
Frog push-up,Chest,Strength,6.5,1. Start in push-up position.  2. Lower chest while bending knees out to sides.  3. Return to plank as you push up.  4. Keep movement controlled.,Intermediate,None,
Pike Push-Up,Chest,Strength,6.5,1. Begin in downward dog position.  2. Lower head toward the ground by bending elbows.  3. Push back up to start.  4. Focus on shoulders and keep core engaged.,Intermediate,None,
Burpee to Forward Lunge,Abdominals,Cardio,7,"1. Perform a burpee.  2. As you rise, step into a forward lunge.  3. Return to start and repeat with opposite leg.  4. Keep movement continuous.",Advanced,"Plyometric, HIIT",
Typewriter push-up,Chest,Strength,7,1. Start in wide push-up position.  2. Lower chest and shift weight side to side.  3. Push back up at end of movement.  4. Stay low and controlled.,Advanced,None,
Fast Feet To Push-Up,Chest,Strength,7,1. Do quick high steps in place.  2. Drop into push-up position.  3. Perform one push-up.  4. Jump back to feet and repeat.,Advanced,"Plyometric, HIIT",
Daisy Cutter,Glutes,Cardio,7.5,1. Start in a squat.  2. Reach one hand diagonally toward opposite foot.  3. Stand and switch sides.  4. Maintain squat depth throughout.,Intermediate,None,
Burpee,Full body,Cardio,8,1. Squat down and place hands on floor.  2. Jump feet back to plank.  3. Jump feet forward and explode upward.  4. Land softly and repeat.,Intermediate,"Plyometric, HIIT",
Arms-Crossed Jump Squat,Neck,Strength,8,1. Start in a squat with arms crossed.  2. Jump up explosively.  3. Land back into squat with arms still crossed.  4. Keep chest up and back straight.,Advanced,"Plyometric, HIIT",
Star Jump,Quadriceps,Cardio,8,"1. Begin in a squat.  2. Jump explosively, spreading arms and legs wide.  3. Land softly back into squat.  4. Engage core for control.",Advanced,"Plyometric, HIIT",
Jumping Jack,Quadriceps,Cardio,8,"1. Stand with feet together, arms at sides.  2. Jump feet out while raising arms overhead.  3. Jump back to start.  4. Repeat rhythmically.",Beginner,"Plyometric, HIIT",
Traveling High Knees to Squat Thrust,Glutes,Cardio,8.5,1. Run forward with high knees.  2. Drop into squat thrust.  3. Jump feet back and forward.  4. Stand and continue moving forward.,Advanced,"Plyometric, HIIT",
Knee Tuck Jump,Glutes,Cardio,8.5,1. Stand tall.  2. Jump up and tuck both knees toward chest.  3. Land softly.  4. Use arms for power.,Advanced,"Plyometric, HIIT",
Rocket Jump,Glutes,Cardio,8.5,1. Begin in squat.  2. Jump straight up with arms reaching high.  3. Land softly back into squat.  4. Explode upward each rep.,Advanced,"Plyometric, HIIT",
In-Out Jump Squat,Quadriceps,Cardio,8.5,1. Start with feet together in squat.  2. Jump feet wide into another squat.  3. Jump back to narrow squat.  4. Keep chest lifted.,Advanced,"Plyometric, HIIT",
Wide Squat Thrust,Quadriceps,Core,8.5,1. Begin in wide squat.  2. Place hands down and jump feet back wide into plank.  3. Jump feet forward to wide squat.  4. Stay low and controlled.,Advanced,"Plyometric, HIIT",
Vertical Mountain Climber,Quadriceps,Cardio,9,1. Stand tall.  2. Run in place with high knees.  3. Reach arms overhead as if climbing.  4. Move fast with strong posture.,Advanced,"Plyometric, HIIT",
Tuck Jump with Knee Slap,Quadriceps,Cardio,9,1. Stand with arms at sides.  2. Jump and slap knees mid-air.  3. Land softly.  4. Reset and repeat with power.,Advanced,"Plyometric, HIIT",
Burpee to Flying Jack,Quadriceps,Cardio,9.5,"1. Do a burpee.  2. As you jump up, perform a jumping jack mid-air.  3. Land softly.  4. Return to burpee.",Advanced,"Plyometric, HIIT",
Tuck-Up Burpee,Quadriceps,Strength,10,"1. Do a burpee.  2. As you jump up, pull knees toward chest.  3. Land and continue.  4. Maintain rhythm and core control.",Advanced,"Plyometric, HIIT",
Burpee with Belly Touch,Quadriceps,Cardio,10,"1. Begin standing.  2. Drop into a push-up position, lower body fully to the ground.  3. Touch chest/belly to floor.  4. Push up, jump to feet, and jump vertically.",Advanced,"Plyometric, HIIT",
Jumping rope,Quadriceps,Cardio,12.3,1. Hold rope handles with both hands.  2. Swing rope overhead and jump as it passes under feet.  3. Stay light on toes.  4. Maintain a steady rhythm.,Beginner,"Plyometric, HIIT",
